High Ground  10E-20  ONE MOM LTR CMM WOE
Tendrils of Corruption  C14-166  BLACKB
Tragic Slip  C14-167  BLACKB
Vampire Hexmage  C14-168  BLACKB
Ezuri, Renegade Leader  C14-195  ONE
Praetor's Counsel  C14-209  ONE MOM LTR CMM
Priest of Titania  C14-210  BRO ONE MOM LTR GREENB
Mask of Memory  C14-249  COLORLESS
Pentavus  C14-261  BRO ONE MOM LTR CMM
Tormod's Crypt  C14-278  COLORLESS
Karoo  C14-303  MID VOW NEO CLB
Tectonic Edge  C14-313  COLORLESS
Grasp of Fate  C15-3  RARE
Broodbirth Viper  C15-10  CLB DMU BRO ONE MOM
Illusory Ambusher  C15-12  MBTWBLUE
Corpse Augur  C15-17  MBTWBLACK
Deadly Tempest  C15-19  RARE
Mizzix's Mastery  C15-29  RARE
Warchief Giant  C15-31  WOE LCI
Daxos the Returned  C15-43  AFR MID VOW NEO
Ezuri, Claw of Progress  C15-44  ZNR KHM
Meren of Clan Nel Toth  C15-49  RARE
Mizzix of the Izmagnus  C15-50  STX MHTWO AFR MID VOW
Thought Vessel  C15-55  ZNR KHM STX MHTWO AFR MID
Command Beacon  C15-56  ZNR KHM STX
Angel of Serenity  C15-58  MHTWO AFR MID VOW NEO SNC
Aura of Silence  C15-60  WHITEA
Dawnglare Invoker  C15-67  WHITEB
Ghostblade Eidolon  C15-70  WHITEA
Preordain  C15-101  BLUEB
Sleep  C15-106  AFR MID VOW NEO
Ambition's Cost  C15-113  MBTWBLACK
Dreadbringer Lampads  C15-122  BLACKB
Fallen Ideal  C15-125  CMM WOE LCI
Nighthowler  C15-129  RARE
Phyrexian Reclamation  C15-133  BLACKB
Seal of Doom  C15-135  BLACKB
Desperate Ravings  C15-149  REDB
Urza's Rage  C15-169  RARE
Bane of Progress  C15-175  BRO ONE MOM LTR CMM
Experiment One  C15-184  GREENB
Treasury Thrull  C15-235  SNC CLB DMU BRO
Underworld Coinsmith  C15-237  MULTICOLOR
Burnished Hart  C15-248  COLORLESS
Crystal Chimes  C15-250  COLORLESS
Fellwar Stone  C15-254  ZNR KHM STX MHTWO AFR MID
Orzhov Advokist  C16-3  MBTWWHITE
Faerie Artisans  C16-8  WOE LCI
Frenzied Fugue  C16-18  MBTWRED
Evolutionary Escalation  C16-22  MBTWGREEN
Treacherous Terrain  C16-47  MULTICOLOR MKM2
Boompile  C16-52  RARE
Crystalline Crawler  C16-54  CMM WOE LCI
Prismatic Geoscope  C16-55  ZNR KHM STX MHTWO AFR
Sanctum Gargoyle  C16-76  WHITEB
Swords to Plowshares  C16-78  WHITEB
Propaganda  C16-94  BLUEB
Executioner's Capsule  C16-109  BLACKB
Wight of Precinct Six  C16-118  BLACKB
Slobad, Goblin Tinkerer  C16-133  ONE
Wheel of Fate  C16-138  RARE
Tempt with Discovery  C16-170  RARE
Abzan Charm  C16-177  MULTICOLOR
Ghave, Guru of Spores  C16-200  CMM WOE LCI
Iroas, God of Victory  C16-205  MBTWRM
Naya Charm  C16-214  MULTICOLOR
Zhur-Taa Druid  C16-232  MULTICOLOR
Thopter Foundry  C16-237  MULTICOLOR
Akroan Horse  C16-241  RARE
Etched Oracle  C16-252  COLORLESS
Gruul Signet  C16-256  COLORLESS
Teferi's Protection  C17-8  RARE
Curse of Verbosity  C17-9  MBTWBLUE
Kindred Discovery  C17-11  KHM STX MHTWO AFR MID VOW
Curse of Opulence  C17-24  REDA
Hungry Lynx  C17-31  WOE LCI
Traverse the Outlands  C17-34  AFR MID VOW NEO SNC
Wasitora, Nekoru Queen  C17-49  SNC CLB DMU BRO
Herald's Horn  C17-53  KHM STX MHTWO AFR MID VOW COLORLESS
Leonin Arbiter  C17-64  ONE MOM LTR CMM
Leonin Relic-Warder  C17-65  WHITEA
Archaeomancer  C17-81  BLUEB
Opportunity  C17-89  BLUEB
Sea Gate Oracle  C17-92  BLUEB
Black Market  C17-98  RARE
Blood Artist  C17-99  BLACKB
Drana, Kalastria Bloodchief  C17-112  RARE
Go for the Throat  C17-114  BLACKB
Chaos Warp  C17-131  RARE
Farseek  C17-149  GREENB
Harmonize  C17-151  GREENB
Rain of Thorns  C17-156  GREENB
Cauldron Dance  C17-166  MULTICOLOR
Crosis, the Purger  C17-168  SNC CLB DMU BRO
Crosis's Charm  C17-169  MULTICOLOR
Nin, the Pain Artist  C17-183  RARE
Qasali Pridemage  C17-189  MULTICOLOR
Tithe Drinker  C17-200  MULTICOLOR
Armillary Sphere  C17-203  COLORLESS
Fist of Suns  C17-211  ONE MOM LTR CMM
Loxodon Warhammer  C17-216  COLORLESS
Skullclamp  C17-222  COLORLESS
Crumbling Necropolis  C17-244  COLORLESS
Frontier Bivouac  C17-251  COLORLESS
Graypelt Refuge  C17-253  COLORLESS
Jungle Shrine  C17-257  COLORLESS
Orzhov Basilica  C17-268  COLORLESS
Rogue's Passage  C17-272  COLORLESS
Loyal Unicorn  C18-4  ZNR KHM STX
Aminatou's Augury  C18-6  RARE
Octopus Umbra  C18-11  ZNR KHM STX MHTWO AFR
Entreat the Dead  C18-15  MHTWO AFR MID VOW NEO
Loyal Apprentice  C18-23  MID VOW NEO CLB
Reality Scramble  C18-25  RARE
Varchild, Betrayer of Kjeldor  C18-28  MBTWRM
Tawnos, Urza's Apprentice  C18-45  BRO ONE
Thantis, the Warweaver  C18-46  MBTWRM
Xantcha, Sleeper Agent  C18-50  ONE
Yuriko, the Tiger's Shadow  C18-52  RARE
Coveted Jewel  C18-54  AFR MID VOW NEO SNC RARE
Crib Swap  C18-65  WHITEA
Lightform  C18-68  WHITEA
Sage's Reverie  C18-72  MBTWWHITE
Archetype of Imagination  C18-81  BLUEB
Djinn of Wishes  C18-87  RARE
Dream Cache  C18-88  BLUEB
Eel Umbra  C18-89  BLUEB
Ninja of the Deep Hours  C18-95  BLUEB
Portent  C18-97  BLUEB
Predict  C18-98  BLUEA
Treasure Hunt  C18-109  BLUEB
Acidic Slime  C18-127  GREENB
Aura Gnarlid  C18-128  GREENB
Borderland Explorer  C18-133  GREENA
Cultivate  C18-138  GREENB
Dawn's Reflection  C18-139  GREENB
Explosive Vegetation  C18-144  GREENB
Fertile Ground  C18-147  GREENB
Grapple with the Past  C18-148  GREENA
Harrow  C18-150  GREENB
Khalni Heart Expedition  C18-154  GREENB
Sakura-Tribe Elder  C18-160  GREENA
Snake Umbra  C18-162  GREENA
Spawning Grounds  C18-163  RARE
Wild Growth  C18-165  GREENA
Yavimaya Elder  C18-166  GREENA
Deathreap Ritual  C18-174  MULTICOLOR
Esper Charm  C18-179  MULTICOLOR
Maverick Thopterist  C18-185  MULTICOLOR
Mortify  C18-186  MULTICOLOR
Savage Twister  C18-190  MULTICOLOR
Unflinching Courage  C18-192  MULTICOLOR
Crystal Ball  C18-201  COLORLESS
Mind Stone  C18-210  COLORLESS
Sol Ring  C18-222  COLORLESS
Arcane Sanctum  C18-232  COLORLESS
Blossoming Sands  C18-237  COLORLESS
Bojuka Bog  C18-238  COLORLESS
Evolving Wilds  C18-245  COLORLESS
Forgotten Cave  C18-246  COLORLESS
Great Furnace  C18-250  COLORLESS
Kazandu Refuge  C18-261  COLORLESS
Krosan Verge  C18-263  COLORLESS
New Benalia  C18-270  COLORLESS
Scoured Barrens  C18-276  COLORLESS
Sejiri Refuge  C18-280  COLORLESS
Swiftwater Cliffs  C18-284  COLORLESS
Temple of the False God  C18-285  COLORLESS
Thornwood Falls  C18-287  COLORLESS
Warped Landscape  C18-291  CMM WOE LCI
Bone Miser  C19-15  MHTWO
K'rrik, Son of Yawgmoth  C19-18  BRO ONE
Ohran Frostfang  C19-33  KHM
Ghired, Conclave Exile  C19-42  MBTWRM
Empowered Autogenerator  C19-54  MBTWRM
Reality Shift  C19-92  ZNR KHM STX MHTWO AFR MID
Dark Withering  C19-110  BLACKA
Great Oak Guardian  C19-170  MBTWGREEN
Lightning Greaves  C19-217  COLORLESS
Mimic Vat  C19-219  RARE
Rix Maadi, Dungeon Palace  C19-269  CMM WOE LCI
Brallin, Skyshark Rider  C20-4  KHM
Kalamax, the Stormsire  C20-9  MOM LTR CMM WOE
Shabraz, the Skyshark  C20-14  KHM
Netherborn Altar  C20-45  CMM WOE LCI
Bonder's Ornament  C20-67  MBTWLMC
Skullwinder  C20-189  NEO CLB DMU BRO
Archaeomancer's Map  C21-12  BRO ONE MOM LTR CMM
Monologue Tax  C21-19  LCI MKM1
Curiosity Crafter  C21-24  LCI
Ruin Grinder  C21-57  NEO SNC CLB DMU
Rout  C21-101  ONE MOM LTR CMM
Rapid Hybridization  C21-126  MBTWBLUE
Serum Visions  C21-129  MBTWBLUE
Feldon of the Third Path  C21-169  BRO ONE MOM LTR CMM
Gluttonous Troll  C21-218  LTR CMM WOE LCI
Kaseto, Orochi Archmage  C21-221  NEO SNC CLB DMU
Desert of the Fervent  C21-286  MBTWRED
Ghostly Prison  CHK-10  MBTWWHITE
Isamaru, Hound of Konda  CHK-19  FOIL
Kitsune Blademaster  CHK-25  MBTWWHITE
Nagao, Bound by Honor  CHK-36  NEO CLB DMU BRO
Samurai of the Pale Curtain  CHK-43  MBTWWHITE
Sensei Golden-Tail  CHK-44  ZNR KHM STX MHTWO AFR
Honden of Seeing Winds  CHK-69  NEO CLB DMU BRO
Jushi Apprentice  CHK-70a  OLDFRAME
Soratami Savant  CHK-90  NEO CLB DMU BRO
Blood Speaker  CHK-103  MBTWBLACK
Marrow-Gnawer  CHK-124  FOIL
Nezumi Graverobber  CHK-129a  ZNR KHM STX MHTWO AFR MBTWBLACK
Nezumi Shortfang  CHK-131a  FOIL
Rend Flesh  CHK-140  MID VOW NEO CLB
Brothers Yamazaki  CHK-160  ZNR KHM STX
Initiate of Blood  CHK-173a  CMM WOE LCI
Kiki-Jiki, Mirror Breaker  CHK-175  NEO CLB DMU BRO
Budoka Gardener  CHK-202a  LTR CMM
Myojin of Life's Web  CHK-229  FOIL
Orochi Eggwatcher  CHK-233a  MBTWGREEN
Rootrunner  CHK-237  ZNR KHM STX MHTWO AFR
Seshiro the Anointed  CHK-241  NEO CLB DMU BRO
Sosuke, Son of Seshiro  CHK-244  FOIL
Eiganjo Castle  CHK-275  AFR MID VOW NEO
Hall of the Bandit Lord  CHK-277  NEO CLB DMU BRO MOM
Minamo, School at Water's Edge  CHK-279  FOIL
Okina, Temple to the Grandfathers  CHK-280  MOM LTR CMM
Shinka, the Bloodsoaked Keep  CHK-282  VOW NEO CLB DMU
Shizo, Death's Storehouse  CHK-283  FOIL
Archivist of Oghma  CLB-4  MBTWRM
Contraband Livestock  CLB-12  MBTWWHITE
Far Traveler  CLB-17  LTR CMM WOE LCI
Pegasus Guardian  CLB-36a  MBTWWHITE
Steadfast Unicorn  CLB-44  MBTWWHITE
You're Confronted by Robbers  CLB-53  MBTWWHITE
Irenicus's Vile Duplication  CLB-78  MBTWBLUE
Mystery Key  CLB-85  MKM2
Run Away Together  CLB-92  MBTWBLUE
Summon Undead  CLB-151  MBTWBLACK
Inspired Tinkering  CLB-183  MBTWRED
Reckless Barbarian  CLB-193  MBTWRED
Thunderwave  CLB-201  MBTWRED
Two-Handed Axe  CLB-203a  MBTWRED
Young Red Dragon  CLB-210a  MBTWRED
Dread Linnorm  CLB-225a  MBTWGREEN
Overwhelming Encounter  CLB-245  MBTWGREEN
Minsc & Boo, Timeless Heroes  CLB-285  WOE LCI
Decanter of Endless Water  CLB-309  MBTWLMC
Patriar's Seal  CLB-332  MBTWLMC
Deep Gnome Terramancer  CLB-658  LCI
Ikra Shidiqi, the Usurper  CM2-11  MBTWRM
Artisan of Kozilek  CM2-14  COLORLESS
Elite Scaleguard  CM2-27  MBTWWHITE
Deepglow Skate  CM2-39  RARE
Fact or Fiction  CM2-42  BLUEB
Memory Erosion  CM2-45  RARE
Mulldrifter  CM2-47  BLUEB
Slipstream Eel  CM2-49  BLUEA
Thrummingbird  CM2-52  BLUEB
Festercreep  CM2-63  BLACKB
Gravedigger  CM2-66  BLACKB
Sewer Nemesis  CM2-75  RARE
Vow of Malice  CM2-82  MBTWBLACK
Curse of the Nightly Hunt  CM2-90  REDB
Faithless Looting  CM2-96  REDB
Fall of the Hammer  CM2-97  REDB
Ingot Chewer  CM2-110  REDA
Taurean Mauler  CM2-122  RARE
Tuktuk the Explorer  CM2-124  ZNR KHM STX MHTWO
Relic Crush  CM2-142  GREENB
Migratory Route  CM2-161  MULTICOLOR
Bottle Gnomes  CM2-177  COLORLESS
Caged Sun  CM2-178  RARE
Cathodion  CM2-179  COLORLESS
Cauldron of Souls  CM2-180  RARE
Coldsteel Heart  CM2-181  COLORLESS
Crystalline Crawler  CM2-183  MBTWRM
Myr Retriever  CM2-203  COLORLESS
Myr Sire  CM2-204  COLORLESS
Palladium Myr  CM2-207  COLORLESS
Sandstone Oracle  CM2-213  COLORLESS
Thought Vessel  CM2-224  COLORLESS
Trading Post  CM2-225  RARE
Ash Barrens  CM2-235  COLORLESS
Blasted Landscape  CM2-238  COLORLESS
Dreadship Reef  CM2-247  COLORLESS
Ghost Quarter  CM2-253  COLORLESS
Sandsteppe Citadel  CM2-264  COLORLESS
Darksteel Mutation  CMA-9  WHITEB
Fiend Hunter  CMA-10  WHITEB
Mirror Entity  CMA-16  RARE
Righteous Cause  CMA-21  WHITEA
Arcane Denial  CMA-30  BLUEB
Hada Spy Patrol  CMA-40  MBTWBLUE
Thornwind Faeries  CMA-42  BLUEB
Evincar's Justice  CMA-58  BLACKB
Phyrexian Plaguelord  CMA-61  RARE
Phyrexian Rager  CMA-62  BLACKB
Shriekmaw  CMA-68  BLACKA
Victimize  CMA-72  ZNR KHM STX MHTWO AFR MID
Death by Dragons  CMA-80  REDB
Dragon Whelp  CMA-81  REDB
Sulfurous Blast  CMA-88  REDB
Beastmaster Ascension  CMA-92  RARE
Desert Twister  CMA-100  GREENB
Essence Warden  CMA-106  GREENB
Imperious Perfect  CMA-118  GREENB
Mulch  CMA-128  GREENA
Mycoloth  CMA-129  RARE
Overrun  CMA-130  GREENB
Spider Spawning  CMA-149  GREENA
Thornweald Archer  CMA-154  GREENA
Wellwisher  CMA-166  GREENA
Roon of the Hidden Realm  CMA-190  NEO SNC CLB DMU
Skyward Eye Prophets  CMA-193  MULTICOLOR
Terminate  CMA-195  MULTICOLOR
Gwyllion Hedge-Mage  CMA-201  MULTICOLOR
Mistmeadow Witch  CMA-203  MULTICOLOR
Bonehoard  CMA-211  ZNR KHM STX MHTWO AFR
Eldrazi Monument  CMA-216  RARE
Akoum Refuge  CMA-238  COLORLESS
Faerie Conclave  CMA-248  COLORLESS
Alliance of Arms  CMD-4  CMM
Crescendo of War  CMD-12  BRO MOM LTR
Martyr's Bond  CMD-19  OLDFRAME
Windborn Muse  CMD-38  MID VOW NEO CLB
Flusterstorm  CMD-46  CMM
Trench Gorger  CMD-65  CMM
Fleshbag Marauder  CMD-83  MBTWBLACK
Chaos Warp  CMD-114  CMM
Magmatic Force  CMD-128  CMM
Collective Voyage  CMD-147  CMM
Scavenging Ooze  CMD-170  CMM
Spawnwrithe  CMD-171  CMM
Aura Shards  CMD-182  OLDFRAME
Dominus of Fealty  CMD-194  OLDFRAME
Karador, Ghost Chieftain  CMD-207  VOW NEO CLB
Skullbriar, the Walking Grave  CMD-227  STX MHTWO AFR MID VOW
Acorn Catapult  CMD-241  ZNR KHM STX MHTWO AFR MID
Skullclamp  CMD-260  ZNR KHM STX MHTWO
Sunblade Angel  CMM-61  MBTWWHITE
Alharu, Solemn Ritualist  CMR-4  MBTWWHITE
Court of Grace  CMR-16  LTR CMM WOE LCI
Slaughter the Strong  CMR-48  MBTWWHITE
Brinelin, the Moon Kraken  CMR-60  VOW NEO CLB DMU
Ghost of Ramirez DePietro  CMR-71  DMU BRO ONE
Glacian, Powerstone Engineer  CMR-72  BRO ONE MOM
Gilt-Leaf Winnower  CMR-130  MBTWBLACK
Tevesh Szat, Doom of Fools  CMR-153  BRO ONE
Alena, Kessig Trapper  CMR-160  MBTWRED
Boarding Party  CMR-163  MBTWRED
Crimson Fleet Commodore  CMR-171  MBTWRED
Frenzied Saddlebrute  CMR-180  MBTWRED
Toggo, Goblin Weaponsmith  CMR-204  MBTWRED
Vow of Lightning  CMR-209  VOW NEO CLB DMU
Fyndhorn Elves  CMR-228  MBTWGREEN
Hans Eriksson  CMR-279  KHM
Jared Carthalion, True Heir  CMR-281  LTR CMM WOE LCI
Kwain, Itinerant Meddler  CMR-284  MBTWRM
Liesa, Shroud of Dusk  CMR-286  MBTWRM
Reyav, Master Smith  CMR-290  NEO CLB DMU BRO
Phyrexian Triniform  CMR-331  ONE MOM
Guildless Commons  CMR-351  MBTWLMC
Aesi, Tyrant of Gyre Strait  CMR-365  MBTWRM
Valorous Stance  CMR-390  MBTWWHITE
Fists of Flame  CMR-414  MBTWRED
Hymn of the Wilds  CN2-7  MBTWRM
Lieutenants of the Guard  CN2-16  WHITEB
Palace Jailer  CN2-18  WHITEA
Palace Sentinels  CN2-19  WHITEB
Recruiter of the Guard  CN2-22  RARE
Coveted Peacock  CN2-29  ZNR KHM STX
Expropriate  CN2-30  RARE
Jeering Homunculus  CN2-33  BLUEA
Messenger Jays  CN2-35  BLUEA
Skittering Crustacean  CN2-36  BLUEB
Stunt Double  CN2-38  RARE
Marchesa's Decree  CN2-44  MBTWBLACK
Thorn of the Black Rose  CN2-48  BLACKB
Besmirch  CN2-49  MBTWRED
Crown-Hunter Hireling  CN2-50  REDA
Domesticated Hydra  CN2-63  GREENA
Selvala, Heart of the Wilds  CN2-70  RARE
Kaya, Ghost Assassin  CN2-75  KHM
Leovold, Emissary of Trest  CN2-77  MBTWRM
Queen Marchesa  CN2-78  RARE
Spy Kit  CN2-79  COLORLESS
Doomed Traveler  CN2-83  WHITEB
Gleam of Resistance  CN2-87  WHITEB
Reviving Dose  CN2-97  WHITEB
Wild Griffin  CN2-99  WHITEB
Windborne Charge  CN2-100  WHITEA
Zealous Strike  CN2-101  WHITEB
Caller of Gales  CN2-103  BLUEA
Desertion  CN2-107  MBTWRM
Fleeting Distraction  CN2-110  BLUEA
Repulse  CN2-119  BLUEB
Absorb Vis  CN2-126  BLACKB
Driver of the Dead  CN2-133  BLACKB
Infest  CN2-139  BLACKA
Phyrexian Arena  CN2-144  RARE
Stromkirk Patrol  CN2-149  BLACKA
Goblin Balloon Brigade  CN2-159  REDB
Ill-Tempered Cyclops  CN2-166  REDA
Birds of Paradise  CN2-176  RARE
Fade into Antiquity  CN2-181  GREENB
Lay of the Land  CN2-185  GREENB
Ravenous Leucrocota  CN2-192  GREENA
Akroan Hoplite  CN2-197  MULTICOLOR
Shipwreck Singer  CN2-206  MULTICOLOR
Stormchaser Chimera  CN2-207  MULTICOLOR
Platinum Angel  CN2-214  ZNR KHM STX MHTWO AFR MID
Iterative Analysis  CNS-6  ZNR KHM STX
Brago's Representative  CNS-14  MOM LTR CMM WOE LCI
Council Guardian  CNS-15  FOIL
Council's Judgment  CNS-16  ZNR KHM STX MHTWO
Custodi Squire  CNS-18  MBTWWHITE
Academy Elite  CNS-20  STX MHTWO AFR MID VOW
Plea for Power  CNS-24  CLB DMU BRO MOM
Scourge of the Throne  CNS-35  ZNR KHM STX MHTWO AFR FOIL
Treasonous Ogre  CNS-36  FOIL
Predator's Howl  CNS-37  MBTWGREEN
Agent of Acquisitions  CNS-54  MBTWLMC
Cogwork Librarian  CNS-58  MBTWLMC
Kor Chant  CNS-73  OLDFRAME
Wakestone Gargoyle  CNS-88  MBTWWHITE
Traveler's Cloak  CNS-109  LTR CMM WOE LCI
Heartless Hidetsugu  CNS-144  NEO CLB DMU BRO
Echoing Courage  CNS-161  WOE LCI
Aven Squire  CON-3  MBTWWHITE
Lapse of Certainty  CON-9  FOIL
Rhox Meditant  CON-16  MBTWWHITE
Master Transmuter  CON-31  OLDFRAME
Kederekt Parasite  CON-48  CLB DMU BRO
Toxic Iguanar  CON-72  ONE MOM LTR CMM
Voracious Dragon  CON-75  ZNR KHM STX MHTWO AFR
Maelstrom Archangel  CON-115  OLDFRAME
Progenitus  CON-121  ZNR KHM STX MHTWO AFR
Font of Mythos  CON-136  OLDFRAME
Ancient Ziggurat  CON-141  OLDFRAME
Unstable Frontier  CON-145  MBTWLMC
Adarkar Valkyrie  CSP-1  KHM
Darien, King of Kjeldor  CSP-4  LTR CMM
Jötun Grunt  CSP-8  KHM
Jötun Owl Keeper  CSP-9  MBTWWHITE
Wall of Shards  CSP-23  FOIL
Commandeer  CSP-29  LTR CMM
Counterbalance  CSP-31  WOE LCI
Jokulmorder  CSP-37  KHM
Grim Harvest  CSP-58  ZNR KHM STX MHTWO AFR
Haakon, Stromgald Scourge  CSP-61  OLDFRAME
Herald of Leshrac  CSP-62  FOIL
Phyrexian Etchings  CSP-67  MOM LTR CMM
Stromgald Crusader  CSP-71  MBTWBLACK
Balduvian Rage  CSP-76  FOIL
Balduvian Warlord  CSP-77  MBTWRED
Braid of Fire  CSP-78  FOIL
Lightning Storm  CSP-89  FOIL
Lovisa Coldeyes  CSP-90  DMU BRO
Skred  CSP-97  ZNR KHM STX MHTWO AFR
Thermopod  CSP-100  MBTWRED
Allosaurus Rider  CSP-101  FOIL
Boreal Druid  CSP-105  FOIL
Into the North  CSP-111  KHM
Panglacial Wurm  CSP-116  KHM STX MHTWO AFR MID VOW FOIL
Sheltering Ancient  CSP-121  FOIL
Juniper Order Ranger  CSP-130  MHTWO AFR MID VOW NEO
Phyrexian Snowcrusher  CSP-140  ONE MOM
Phyrexian Soulgorger  CSP-141  OLDFRAME
Thrumming Stone  CSP-142  ZNR KHM
Dark Depths  CSP-145  KHM STX MHTWO AFR MID VOW
Frost Marsh  CSP-146  MBTWLMC
Mouth of Ronom  CSP-148  BRO ONE MOM
Scrying Sheets  CSP-149  KHM STX MHTWO AFR MID VOW
Siege Zombie  DBL-121  MOM LTR CMM WOE
Elvish Warrior  DD1-5  GREENB
Wren's Run Vanquisher  DD1-19  GREENA
Wirewood Lodge  DD1-26  COLORLESS
Mogg Fanatic  DD1-44  REDB
Goblin Burrows  DD1-58  COLORLESS
Willbender  DD2-6  MBTWBLUE
Fledgling Mawcor  DD2-10  BLUEA
Riftwing Cloudskate  DD2-15  BLUEA
Errant Ephemeron  DD2-20  BLUEB
Daze  DD2-23  BLUEA
Gush  DD2-27  BLUEA
Flame Javelin  DD2-53  MBTWRED
Fireball  DD2-56  AFR MID VOW NEO
Angelsong  DDC-15  WHITEA
Otherworldly Journey  DDC-16  MBTWWHITE
Serra's Embrace  DDC-21  WHITEA
Cackling Imp  DDC-41  BLACKA
Demonic Tutor  DDC-49  BLACKA
Breeding Pit  DDC-53  BLACKA
Promise of Power  DDC-54  ZNR KHM STX MHTWO AFR
Consume Spirit  DDC-56  CMM WOE LCI
Basking Rootwalla  DDD-2  GREENB
Wild Mongrel  DDD-5  GREENA
Blastoderm  DDD-7  GREENA
Lignify  DDD-16  GREENA
Nature's Lore  DDD-17  GREENA
Serrated Arrows  DDD-20  COLORLESS
Deathgreeter  DDD-33  MBTWBLACK
Genju of the Fens  DDD-47  BLACKA
Bad Moon  DDD-48  VOW NEO CLB DMU
Priest of Gix  DDE-7  BRO ONE MOM LTR CMM MBTWBLACK
Order of Yawgmoth  DDE-11  BRO ONE MOM LTR CMM
Dark Ritual  DDE-18  DMU BRO ONE MOM LTR
Rith, the Awakener  DDE-48  OLDFRAME
Goldmeadow Harrier  DDF-3  MBTWWHITE
Argivian Restoration  DDF-69  BRO ONE MOM LTR CMM
Knight of Meadowgrain  DDG-5  MBTWWHITE
Knight Exemplar  DDG-14  CMM
Kilnmouth Dragon  DDG-59  ZNR KHM STX MHTWO AFR
Punishing Fire  DDG-66  MBTWRED
Seething Song  DDG-70  KHM STX MHTWO AFR MID VOW
Slavering Nulls  DDH-45  MBTWRED
Countersquall  DDH-59  MBTWLMC
Kor Cartographer  DDI-13  MBTWWHITE
Stone Giant  DDI-55  AFR MID VOW NEO
Force Spike  DDJ-14  MBTWBLUE
Nivix, Aerie of the Firemind  DDJ-36  CMM WOE LCI
Brain Weevil  DDJ-58  CMM WOE LCI
Doomgape  DDJ-65  OLDFRAME
Feast or Famine  DDJ-72  MBTWBLACK
Hellspark Elemental  DDK-46  MBTWRED
Lavaborn Muse  DDK-50  NEO CLB DMU BRO MOM
Faithless Looting  DDK-59  MID VOW NEO CLB
Flame Slash  DDK-60  MBTWRED
Recoup  DDK-63  OLDFRAME
Pyrokinesis  DDL-32  MBTWRED
Orcish Lumberjack  DDL-44  AFR MID VOW NEO MBTWRED
Phantasmal Dragon  DDM-14  OLDFRAME
Halimar Depths  DDM-36  MBTWBLUE
Sadistic Augermage  DDM-52  CMM WOE LCI
Nekrataal  DDM-62  MBTWBLACK
Infantry Veteran  DDN-3  WHITEA
Dregscape Zombie  DDN-5  BLACKA
Goblin Deathraiders  DDN-6  MULTICOLOR
Shambling Remains  DDN-12  MULTICOLOR
Goblin Bombardment  DDN-24  REDA
Orcish Cannonade  DDN-28  REDB
Arcanis the Omnipotent  DDN-42  MBTWRM
Coral Trickster  DDN-44  BLUEB
Sparkmage Apprentice  DDN-48  REDA
Lone Missionary  DDN-49  WHITEA
Faerie Invaders  DDN-57  BLUEB
Thousand Winds  DDN-58  NEO SNC CLB DMU
Stave Off  DDN-61  WHITEA
Mana Leak  DDN-64  BLUEB
Whiplash Trap  DDN-70  BLUEB
Court Street Denizen  DDO-5  WHITEA
Decree of Justice  DDO-7  RARE
Dictate of Heliod  DDO-8  RARE
Gustcloak Skirmisher  DDO-13  WHITEA
Kor Skyfisher  DDO-16  WHITEA
Loxodon Partisan  DDO-17  WHITEA
Mortal's Ardor  DDO-19  WHITEA
Mother of Runes  DDO-20  WHITEA
Soul Parry  DDO-24  WHITEA
Veteran Swordsmith  DDO-28  WHITEA
Aetherize  DDO-36  MBTWBLUE
Peel from Reality  DDO-40  BLUEB
Sealock Monster  DDO-42  BLUEB
Surrakar Banisher  DDO-43  BLUEA
Whelming Wave  DDO-44  RARE
Explore  DDO-45  GREENB
Time to Feed  DDO-50  GREENA
Kiora's Follower  DDO-52  MULTICOLOR
Caravan Escort  DDP-3  WHITEA
Kabira Vindicator  DDP-4  MBTWWHITE
Knight of Cliffhaven  DDP-5  WHITEB
Oust  DDP-7  WHITEA
Beastbreaker of Bala Ged  DDP-10  GREENA
Grazing Gladehart  DDP-14  GREENB
Groundswell  DDP-15  GREENB
Territorial Baloth  DDP-24  GREENA
Bloodrite Invoker  DDP-45  BLACKB
Corpsehatch  DDP-50  BLACKA
Induce Despair  DDP-53  BLACKA
Read the Bones  DDP-56  BLACKA
Emrakul's Hatcher  DDP-59  REDB
Eldrazi Temple  DDP-68  ZNR
Bonds of Faith  DDQ-2  WHITEA
Champion of the Parish  DDQ-4  MID VOW NEO SNC RARE
Spectral Gateguards  DDQ-19  WHITEA
Village Bell-Ringer  DDQ-22  WHITEA
Voice of the Provinces  DDQ-23  WHITEA
Mist Raven  DDQ-26  BLUEA
Nephalia Smuggler  DDQ-27  MBTWBLUE
Stitched Drake  DDQ-49  BLUEB
Dread Return  DDQ-55  BLACKA
Gravecrawler  DDQ-59  RARE
Briarhorn  DDR-3  GREENA
Citanul Woodreaders  DDR-4  GREENB
Crop Rotation  DDR-7  GREENB
Natural Connection  DDR-13  GREENA
Oakgnarl Warrior  DDR-15  GREENB
Oran-Rief Invoker  DDR-17  GREENA
Seek the Horizon  DDR-20  GREENA
Khalni Garden  DDR-28  MBTWGREEN
Altar's Reap  DDR-37  BLACKB
Blistergrub  DDR-40  BLACKA
Cadaver Imp  DDR-41  BLACKA
Grim Discovery  DDR-51  BLACKA
Hideous End  DDR-52  BLACKA
Renegade Demon  DDR-59  BLACKB
Jhoira of the Ghitu  DDS-1  MBTWRM
